date,type,year,avg_price,size,nb_sold
11/24/2016,conventional,2016,2.43,large,2235409.485
12/1/2016,conventional,2016,1.73,large,9361622.487
12/8/2016,conventional,2016,2.18,medium,943438.138
12/15/2016,organic,2016,1.26,small,5722614.303
12/22/2016,conventional,2016,2.02,extra_large,6143854.277
12/29/2016,conventional,2016,1.48,extra_large,3022022.976
1/5/2017,organic,2017,0.91,medium,58825.446
1/12/2017,conventional,2017,2.15,small,3331716.51
1/19/2017,organic,2017,2.4,large,9493853.352
1/26/2017,organic,2017,1.29,medium,1184988.499
2/2/2017,conventional,2017,2.26,medium,7692381.924
2/9/2017,organic,2017,1.69,small,6424821.443
2/16/2017,organic,2017,0.8,large,9233085.903
2/23/2017,conventional,2017,1.82,medium,9172573.559
3/2/2017,organic,2017,2.29,large,9490097.306
3/9/2017,organic,2017,1.16,large,5579664.382
3/16/2017,conventional,2017,1.87,medium,5024262.249
3/23/2017,organic,2017,0.85,medium,3594287.008
3/30/2017,conventional,2017,2.49,small,1092854.459
4/6/2017,organic,2017,2.4,large,6790869.146
4/13/2017,conventional,2017,1.72,large,489681.063
4/20/2017,conventional,2017,0.96,medium,2408072.172
4/27/2017,organic,2017,0.89,small,9459751.983
5/4/2017,organic,2017,1.17,medium,4376119.054
5/11/2017,organic,2017,1.42,medium,3309307.137
5/18/2017,conventional,2017,1.98,medium,4081264.46
5/25/2017,organic,2017,1.67,extra_large,3819006.389
6/1/2017,organic,2017,1.54,small,1091785.472
6/8/2017,conventional,2017,1.84,large,8545582.323
6/15/2017,organic,2017,1.18,medium,6669754.208
6/22/2017,conventional,2017,1.66,small,8944635.833
6/29/2017,conventional,,0.8,medium,5764772.189
7/6/2017,conventional,,1.8,small,3022398.417
7/13/2017,organic,,0.88,large,6657339.384
7/20/2017,organic,,0.99,large,1806514.961
7/27/2017,organic,,1.82,large,6360981.067
8/3/2017,organic,2017,1.63,medium,627312.2
8/10/2017,organic,2017,1.06,medium,9260936.806
8/17/2017,conventional,2017,1.01,large,1079843.468
8/24/2017,conventional,2017,2.19,medium,393125.9
8/31/2017,conventional,2017,2.39,small,6253900.419
9/7/2017,conventional,2017,2.45,large,4041527.435
9/14/2017,conventional,2017,2.39,medium,573043.476
9/21/2017,conventional,2017,1.47,medium,6261519.949
9/28/2017,conventional,2017,2.15,small,7738501.153
10/5/2017,conventional,2017,1.43,extra_large,83982.876
10/12/2017,conventional,2017,1.47,large,2738652.015
10/19/2017,conventional,2017,1.96,small,984474.356
10/26/2017,organic,2017,1.29,medium,7663489.205
11/2/2017,conventional,2017,,large,2950415.36
11/9/2017,conventional,2017,,extra_large,5762187.054
11/16/2017,conventional,2017,,small,8813463.696
11/23/2017,conventional,2017,,medium,8923268.791
11/30/2017,organic,2017,,medium,6637453.063
12/7/2017,organic,2017,,medium,2408044.243
12/14/2017,conventional,2017,,small,9649356.857
12/21/2017,organic,2017,1.36,small,6311216.814
12/28/2017,conventional,2017,1.17,medium,5781982.771
1/4/2018,organic,2018,2.37,large,8137454.562
1/11/2018,organic,2018,1.14,small,6146561.137
1/18/2018,conventional,2018,2.03,large,6425825.544
1/25/2018,organic,2018,1.74,large,9255351.28
2/1/2018,organic,2018,1.58,extra_large,6490636.578
2/8/2018,,2018,1.32,small,5637332.193
2/15/2018,,2018,1.5,extra_large,8915920.134
2/22/2018,,2018,1.19,large,3630170.375
3/1/2018,,2018,0.97,medium,7445911.689
3/8/2018,,2018,2.06,medium,6253.608
3/15/2018,,2018,2.32,small,8066325.608
3/22/2018,conventional,2018,2.49,extra_large,7180182.52
3/29/2018,organic,2018,2.34,medium,5269183.728
4/5/2018,organic,2018,0.99,medium,7242350.066
4/12/2018,conventional,2018,2.47,large,2069126.118
4/19/2018,organic,2018,1.35,medium,2018288.592
4/26/2018,organic,2018,1.09,small,4449705.085
5/3/2018,organic,2018,1.92,large,9973369.738
5/10/2018,conventional,2018,2.14,medium,2418608.387
5/17/2018,organic,2018,2.25,medium,4161539.446
5/24/2018,organic,2018,2.03,extra_large,5975111.906
5/31/2018,conventional,2018,2.09,large,3078815.615
6/7/2018,organic,2018,0.83,extra_large,2834452.538
6/14/2018,conventional,2018,1.01,small,7307968.527
6/21/2018,organic,2018,2.23,small,8138638.456
6/28/2018,organic,2018,2.49,medium,5555025.144
7/5/2018,conventional,2018,1.21,extra_large,145876.312
7/12/2018,organic,2018,2.33,extra_large,4976216.808
7/19/2018,conventional,2018,1.23,medium,6788055.721
7/26/2018,organic,2018,1.36,small,9004141.744
8/2/2018,organic,2018,1.13,large,7427685.024
8/9/2018,organic,2018,1.49,extra_large,9136712.185
8/16/2018,organic,2018,1.11,extra_large,7181894.813
8/23/2018,conventional,2018,1.2,small,4603035.949
8/30/2018,organic,2018,2.46,small,5608771.269
9/6/2018,organic,2018,1.31,extra_large,1722878.119
9/13/2018,organic,2018,1.66,small,5819588.036
9/20/2018,conventional,2018,2.07,medium,6132793.706
9/27/2018,organic,2018,2.14,small,5765944.607
10/4/2018,organic,2018,1.91,large,4658260.969
10/11/2018,conventional,2018,1.62,medium,2558661.529
10/18/2018,organic,2018,1.33,medium,6498571.004
10/25/2018,organic,2018,2.32,large,4290950.748
11/1/2018,conventional,2018,1.57,extra_large,6857190.68
11/8/2018,conventional,2018,2.3,large,7992535.788
11/15/2018,conventional,2018,1.83,extra_large,2488648.181
11/22/2018,conventional,2018,1.93,small,9953283.875
11/29/2018,organic,2018,2.27,extra_large,7204649.24
12/6/2018,conventional,2018,2.21,extra_large,8567882.316
12/13/2018,organic,2018,2.16,small,8842995.681
12/20/2018,organic,2018,1.32,extra_large,9529574.996
12/27/2018,organic,2018,2.1,large,7444155.335
1/3/2019,conventional,2019,0.94,extra_large,4827097.35
1/10/2019,conventional,2019,1.14,small,5560832.173
1/17/2019,organic,2019,1.04,extra_large,8150774.269
1/24/2019,organic,2019,2.45,small,3367828.182
1/31/2019,conventional,2019,1.8,large,9311788.955
2/7/2019,conventional,2019,1.19,extra_large,9312413.181
2/14/2019,organic,2019,1.17,medium,6574771.874
2/21/2019,conventional,2019,2.02,extra_large,3282759.582
2/28/2019,organic,2019,2.3,medium,3793092.687
3/7/2019,organic,2019,1.94,small,3255706.448
3/14/2019,conventional,2019,1.2,small,3733961.923
3/21/2019,conventional,2019,1.45,large,811592.689
3/28/2019,conventional,2019,2.14,large,8772418.32
4/4/2019,organic,2019,0.86,extra_large,4720808.568
4/11/2019,organic,2019,1.31,large,5539755.845
4/18/2019,organic,2019,2.44,medium,5125431.595
4/25/2019,conventional,2019,2.07,extra_large,6093714.235
5/2/2019,conventional,2019,2.27,extra_large,4518648.215
5/9/2019,organic,2019,1.99,medium,3760491.387
5/16/2019,organic,2019,0.81,,1296788.293
5/23/2019,organic,2019,1.32,,7588784.491
5/30/2019,conventional,2019,2.02,,2471296.417
6/6/2019,conventional,2019,2.35,,9927110.352
6/13/2019,conventional,2019,2.16,,4594295.041
6/20/2019,organic,2019,0.85,,8390830.829
6/27/2019,organic,2019,1.91,small,8809066.234
7/4/2019,conventional,2019,2.47,small,6798733.511
7/11/2019,conventional,2019,0.9,large,2270866.87
7/18/2019,organic,2019,1.67,small,827695.507
7/25/2019,organic,2019,0.95,extra_large,6390970.984
8/1/2019,conventional,2019,1.2,small,18311.51
8/8/2019,organic,2019,1.29,extra_large,2705708.917
8/15/2019,organic,2019,1.41,large,9545579.799
8/22/2019,conventional,,,medium,6019227.221
8/29/2019,conventional,,,large,9850919.78
9/5/2019,organic,,,large,6676003.404
9/12/2019,conventional,,,medium,2963611.632
9/19/2019,organic,,,small,6708366.021
9/26/2019,organic,,,large,8701174.079
10/3/2019,organic,,,small,9921962.969
10/10/2019,organic,,,extra_large,948755.611
10/17/2019,organic,,,large,7964539.337
10/24/2019,conventional,,,extra_large,6196640.851
10/31/2019,conventional,,,medium,8959904.649
11/7/2019,organic,,,large,3983898.661
11/14/2019,conventional,2019,2.37,medium,2126261.904
11/21/2019,conventional,2019,0.86,small,839367.23
11/28/2019,organic,2019,1.91,medium,4063101.466
12/5/2019,organic,2019,1.45,large,295691.851
12/12/2019,organic,2019,1.98,extra_large,9104857.392
12/19/2019,organic,2019,2.08,extra_large,4299986.797
12/26/2019,organic,2019,2.1,medium,7200420.361
1/2/2020,organic,2020,0.97,extra_large,713653.403
1/9/2020,conventional,2020,1.96,medium,3803153.138
1/16/2020,conventional,2020,1.16,small,9717472.492
1/23/2020,conventional,2020,1.35,extra_large,6152982.797
1/30/2020,conventional,2020,2.02,extra_large,74468.398
2/6/2020,organic,2020,1.21,small,6291591.106
2/13/2020,conventional,2020,2.21,large,3965741.341
2/20/2020,organic,2020,2.17,medium,446908.016
2/27/2020,organic,2020,1.61,extra_large,5605099.8
3/5/2020,conventional,2020,2.28,medium,9846121.881
3/12/2020,conventional,2020,1.92,medium,1605877.807
3/19/2020,conventional,2020,1.66,large,209704.196
3/26/2020,organic,2020,1.67,extra_large,7012280.677
4/2/2020,organic,2020,1.66,extra_large,8602297.781
4/9/2020,conventional,2020,1.28,large,6619021.177
4/16/2020,conventional,2020,1,medium,9144259.551
4/23/2020,organic,2020,0.87,large,7767393.984
4/30/2020,organic,2020,1.3,extra_large,412328.444
5/7/2020,organic,2020,2.05,large,4693505.777
5/14/2020,organic,2020,1.48,large,15134.197
5/21/2020,conventional,2020,1.45,small,2138751.002
5/28/2020,organic,2020,2.27,extra_large,4632937.657
6/4/2020,conventional,2020,2.24,large,3794460.474
6/11/2020,conventional,2020,1.24,extra_large,2685603.165
6/18/2020,conventional,2020,0.95,extra_large,7791329.601
6/25/2020,organic,2020,2.27,medium,820497.028
7/2/2020,conventional,2020,1.58,large,8280955.379
7/9/2020,conventional,2020,1.97,extra_large,4249975.429
7/16/2020,conventional,2020,2.24,extra_large,1550164.053
7/23/2020,organic,2020,1.37,small,9714898.784
7/30/2020,organic,2020,0.88,medium,1597497.337
8/6/2020,conventional,2020,2.15,medium,9576133.694
8/13/2020,conventional,2020,2.21,large,9194039.021
8/20/2020,conventional,2020,2.25,large,6352103.486
8/27/2020,conventional,2020,2.02,small,4625715.619
9/3/2020,organic,2020,2.1,medium,9078646.122
9/10/2020,organic,2020,1.03,medium,1886967.517
9/17/2020,conventional,2020,1.13,medium,6680701.307
9/24/2020,organic,2020,1.63,extra_large,5241877.099
10/1/2020,conventional,2020,2.4,medium,25048.57
10/8/2020,organic,2020,2.16,small,174095.806
10/15/2020,organic,2020,1.94,large,9837191.517
10/22/2020,conventional,2020,2.41,small,8662348.175
10/29/2020,organic,2020,0.87,extra_large,6480804.519
11/5/2020,conventional,2020,1.36,extra_large,5596512.869
11/12/2020,organic,2020,2.37,small,4560562.601
11/19/2020,conventional,2020,0.97,extra_large,4020703.257
11/26/2020,conventional,2020,1.9,extra_large,2425174.538
12/3/2020,conventional,2020,1.95,medium,6490220.908
12/10/2020,organic,2020,1.44,large,5938868.038
12/17/2020,conventional,2020,2.42,large,1589013.148
12/24/2020,organic,2020,1.07,extra_large,3422650.298
12/31/2020,conventional,2020,1.32,extra_large,8115240.701
1/7/2021,organic,2021,0.89,small,1079619.615
1/14/2021,organic,2021,1.58,large,8555249.29
1/21/2021,organic,2021,1.7,small,1226836.924
1/28/2021,conventional,2021,1.99,medium,4788492.3
2/4/2021,conventional,2021,1.83,extra_large,2993860.485
2/11/2021,conventional,2021,2.17,large,3565661.549
2/18/2021,conventional,2021,2.37,large,2317509.786
2/25/2021,organic,2021,2.04,small,7813922.117
3/4/2021,conventional,2021,2.02,large,5710383.725
3/11/2021,conventional,2021,1.99,large,5503799.959
3/18/2021,organic,2021,2.34,medium,185431.049
3/25/2021,organic,2021,1.35,small,5546231.017
4/1/2021,conventional,2021,1.59,extra_large,5713708.322
4/8/2021,organic,2021,1.88,small,289361.83
4/15/2021,conventional,2021,1.7,large,8787619.419
4/22/2021,organic,2021,1.46,small,261076.467
4/29/2021,organic,2021,0.81,small,7678958.56
5/6/2021,conventional,2021,1.99,small,7272161.024
5/13/2021,organic,2021,1.62,small,1361989.698
5/20/2021,conventional,2021,0.93,small,8586296.094
5/27/2021,conventional,2021,1.49,extra_large,1315224.789
6/3/2021,conventional,2021,1,small,6563891.274
6/10/2021,conventional,2021,1.64,large,5557044.718
6/17/2021,conventional,2021,0.95,large,6333315.493
6/24/2021,conventional,2021,2.22,extra_large,1639419.803
7/1/2021,conventional,2021,2.45,large,3572563.062
7/8/2021,conventional,2021,2.39,medium,5457489.701
7/15/2021,organic,2021,1.01,large,9033315.308
7/22/2021,conventional,2021,1.72,medium,8692453.933
7/29/2021,conventional,2021,1.13,extra_large,690167.407
8/5/2021,conventional,2021,1.42,small,2503494.116
8/12/2021,organic,2021,1.96,medium,9811487.808
8/19/2021,conventional,2021,0.93,medium,7895922.624
8/26/2021,conventional,2021,1,medium,8594508.444
9/2/2021,conventional,2021,1.3,large,9518466.89
9/9/2021,organic,2021,1.43,large,620906.468
9/16/2021,conventional,2021,0.94,medium,5673969.766
9/23/2021,conventional,2021,2,small,1955672.152
9/30/2021,organic,2021,1.03,small,2782674.429
10/7/2021,conventional,2021,2.42,medium,1223608.899
10/14/2021,conventional,2021,1.93,large,1231869.181
10/21/2021,conventional,2021,2.02,medium,4375443.578
10/28/2021,organic,2021,1.83,medium,6134530.614
11/4/2021,conventional,2021,1.97,extra_large,7976841.055
11/11/2021,conventional,2021,2.08,medium,8670895.213
11/18/2021,conventional,2021,1.36,extra_large,1333497.247
11/25/2021,conventional,2021,2.43,large,1681164.767
12/2/2021,organic,2021,2.02,extra_large,970874.719
12/9/2021,organic,2021,1.35,large,4824433.276
12/16/2021,conventional,2021,1.89,large,7480262.519
12/23/2021,conventional,2021,2.41,extra_large,3348806.876
12/30/2021,conventional,2021,0.84,large,7975473.815
1/6/2022,conventional,2022,1.7,large,6583255.744
1/13/2022,organic,2022,1.4,extra_large,4348544.365
1/20/2022,conventional,2022,1.24,small,9034959.532
1/27/2022,conventional,2022,1.08,medium,2528432.965
2/3/2022,conventional,2022,2.26,small,9808884.834
2/10/2022,organic,2022,0.97,large,8118772.049
2/17/2022,organic,2022,2.13,medium,3832128.753
2/24/2022,organic,2022,1.91,medium,5903756.114
3/3/2022,conventional,2022,1.45,small,8963513.128
3/10/2022,organic,2022,1.3,large,9855616.171
3/17/2022,organic,2022,1.31,small,2500181.074
3/24/2022,conventional,2022,1.14,extra_large,5248436.81
3/31/2022,conventional,2022,2.43,medium,8984176.833
4/7/2022,organic,2022,2.45,medium,2414910.578
4/14/2022,conventional,2022,1.34,extra_large,8442374.105
4/21/2022,conventional,2022,1.87,small,5519016.117
4/28/2022,organic,2022,2.38,extra_large,8548595.406
5/5/2022,conventional,2022,2.26,small,8556765.56
5/12/2022,conventional,2022,1.48,medium,775942.989
5/19/2022,organic,2022,2.25,large,4633631.645
5/26/2022,conventional,2022,1.41,large,4835165.466
6/2/2022,organic,2022,1.28,small,1235677.489
6/9/2022,organic,2022,1.3,extra_large,8877432.71
6/16/2022,organic,2022,2.38,extra_large,5783996.714
6/23/2022,organic,2022,2.2,extra_large,62656.894
6/30/2022,organic,2022,2.23,small,1028888.008
7/7/2022,organic,2022,0.87,small,7771228.26
7/14/2022,conventional,2022,1.59,extra_large,1089987.218
7/21/2022,conventional,2022,1.28,large,9972358.251
7/28/2022,conventional,2022,1.39,extra_large,5592311.169
8/4/2022,organic,2022,1.21,large,8273328.677
8/11/2022,conventional,2022,2.35,large,653702.486
8/18/2022,organic,2022,0.88,large,6810268.159
8/25/2022,organic,2022,1.29,small,4767427.188
9/1/2022,organic,2022,0.95,extra_large,9478659.676
9/8/2022,organic,2022,1.27,extra_large,2217364.442
9/15/2022,conventional,2022,1.96,small,5083226.823
9/22/2022,organic,2022,2.33,small,143240.216
9/29/2022,conventional,2022,1.59,large,2173706.941
10/6/2022,conventional,2022,1.96,extra_large,240494.766
10/13/2022,organic,2022,1.6,large,2569274.291
10/20/2022,conventional,2022,2.12,extra_large,5779746.21
10/27/2022,organic,2022,1.65,extra_large,4129437.385
11/3/2022,organic,2022,2.18,medium,8222064.474
11/10/2022,conventional,2022,2.27,small,3030843.951
11/17/2022,conventional,2022,1.57,small,1179460.289
11/24/2022,conventional,2022,2.23,large,600785.357
12/1/2022,organic,2022,0.96,extra_large,5332391.244
12/8/2022,conventional,2022,0.88,medium,3933955.932
12/15/2022,conventional,2022,1.87,extra_large,2020759.405
12/22/2022,conventional,2022,2.27,large,888665.679
12/29/2022,organic,2022,1.42,small,9810544.703
1/5/2023,organic,2023,1.76,small,7677346.927
1/12/2023,organic,2023,1.55,extra_large,4919384.469
1/19/2023,conventional,2023,1.08,small,8912448.562
1/26/2023,organic,2023,1.29,large,4128461.765
2/2/2023,organic,2023,2.21,large,68908.4
2/9/2023,conventional,2023,1.05,medium,4742876.053
2/16/2023,organic,2023,1.25,large,1096637.086
2/23/2023,organic,2023,1.62,small,3675893.137
3/2/2023,conventional,2023,1.2,small,7988687.803
3/9/2023,conventional,2023,2.29,medium,4896027.402
3/16/2023,organic,2023,1.39,small,2704045.867
3/23/2023,organic,2023,2.15,medium,7269694.564
3/30/2023,conventional,2023,2.1,medium,4693280.175
4/6/2023,organic,2023,1.74,small,640793.47
4/13/2023,organic,2023,0.92,large,7072653.782
4/20/2023,conventional,2023,2.07,large,5972399.64
4/27/2023,conventional,2023,1.42,large,6895652.949
5/4/2023,organic,2023,0.87,small,4385459.77
5/11/2023,organic,2023,0.81,large,2046344.087
5/18/2023,conventional,2023,1.28,large,4252718.106
5/25/2023,conventional,2023,1.83,large,2093835.661
6/1/2023,organic,2023,1.43,medium,1063916.225
6/8/2023,organic,2023,1.46,medium,1787434.018
6/15/2023,organic,2023,2.07,extra_large,1242837.625
6/22/2023,conventional,2023,1.49,medium,5465423.761
6/29/2023,organic,2023,1.32,large,20780.588
7/6/2023,organic,2023,0.99,small,7451525.368
7/13/2023,conventional,2023,1.54,medium,6250592.063
7/20/2023,conventional,2023,1.24,medium,3931442.551
7/27/2023,organic,2023,0.99,small,5826940.368
8/3/2023,organic,2023,1.98,small,2202400.857
8/10/2023,conventional,2023,1.86,extra_large,4690607.811
8/17/2023,conventional,2023,2.46,extra_large,7627237.22
8/24/2023,organic,2023,2.16,extra_large,8859197.006
8/31/2023,organic,2023,2.09,medium,1878226.878
9/7/2023,conventional,2023,2.3,large,7713327.834
9/14/2023,conventional,2023,1.11,medium,2780881.285
9/21/2023,conventional,2023,2.14,small,9762128.826
9/28/2023,conventional,2023,1.31,extra_large,7505578.972
10/5/2023,conventional,2023,1.57,extra_large,6316257.72
10/12/2023,conventional,2023,0.8,extra_large,5060044.684
10/19/2023,conventional,2023,2.26,large,3198526.523
10/26/2023,organic,2023,0.95,small,6305916.725
11/2/2023,organic,2023,1.74,small,5926394.276
11/9/2023,organic,2023,2.2,medium,5543547.72
11/16/2023,conventional,2023,2.32,small,2920500.48
11/23/2023,conventional,2023,2.29,extra_large,4638738.245
11/30/2023,conventional,2023,2.36,large,2947240.004
12/7/2023,organic,2023,1.3,medium,3600429.75
12/14/2023,conventional,2023,1.73,medium,3951763.647
12/21/2023,conventional,2023,1.2,extra_large,676926.125
12/28/2023,organic,2023,1.51,extra_large,138849.104
1/4/2024,organic,2024,1.53,extra_large,7266534.537
1/11/2024,conventional,2024,2,small,1800189.638
1/18/2024,organic,2024,2.11,large,2752882.772
1/25/2024,organic,2024,2.31,extra_large,1329672.986
2/1/2024,organic,2024,0.91,small,2144770.359
2/8/2024,conventional,2024,1.15,small,7455508.747
2/15/2024,organic,2024,1.34,small,5938017.875
2/22/2024,conventional,2024,2.5,medium,7844949.584
2/29/2024,conventional,2024,2.16,small,2921565.533
3/7/2024,conventional,2024,1.45,extra_large,2532630.343
3/14/2024,organic,2024,2.48,small,9812407.936
3/21/2024,organic,2024,1.47,extra_large,835081.657
3/28/2024,organic,2024,1.85,extra_large,2813858.61
4/4/2024,organic,2024,2.05,small,5294640.515
4/11/2024,organic,2024,0.81,extra_large,5336177.653
4/18/2024,organic,2024,1.97,medium,9400469.569
4/25/2024,conventional,2024,2.02,extra_large,1443921.41
5/2/2024,conventional,2024,1.21,medium,6041411.579
5/9/2024,conventional,2024,2.21,extra_large,641418.488
5/16/2024,organic,2024,2.37,medium,1753916.331
5/23/2024,conventional,2024,1.3,medium,7994428.26
5/30/2024,conventional,2024,2.47,medium,9190526.834
6/6/2024,conventional,2024,1.27,extra_large,6220998.241
6/13/2024,organic,2024,1.68,extra_large,7991878.921
6/20/2024,conventional,2024,0.95,extra_large,96564.363
6/27/2024,organic,2024,0.85,small,6193873.948
7/4/2024,conventional,2024,1.1,medium,4855037.207
7/11/2024,organic,2024,2.13,large,5209420.655
7/18/2024,organic,2024,2.33,extra_large,6703510.655
7/25/2024,organic,2024,1.91,small,629683.072
